Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
FARM_1001,Telangana,Warangal,Soybean,Kharif,9.6,898.3,27.1,70,6.6,7.33,57.7,124,63,52,Sprinkler,137,4.3,80,10.31,86.55,14997,1015210,1297990,282780,4989.5,20.66,59.9
FARM_1002,Karnataka,Shimoga,Cotton,Kharif,6.8,850.6,24.6,62.8,8.8,6.14,51.7,93,58,77,Tube Well,173,4.3,77,7.21,49.92,14529,580713,725288,144575,6316.7,11.41,66
FARM_1003,Telangana,Rangareddy,Rice,Kharif,7.9,939,28.7,76.1,6.4,5.75,37.9,153,46,40,Tube Well,167,3.9,82,4.32,33.55,17340,434597,581757,147160,6065.3,7.12,43.8
FARM_1004,Punjab,Ludhiana,Maize,Kharif,8.7,869.5,24.9,72.5,9.5,7.4,55.4,107,73,48,Tube Well,119,2.5,95,7.19,66.11,15976,773564,1056173,282609,6390,11.25,42.8
FARM_1005,Punjab,Patiala,Soybean,Kharif,9.2,871,30,69.6,6.9,5.87,56.6,120,65,48,Rainfed,180,3.7,80,5.86,52.38,17357,619417,909160,289743,5667.7,10.34,36.2
FARM_1006,Telangana,Nalgonda,Rice,Kharif,8.3,593.2,26.4,77.6,5.8,5.43,49,83,65,34,Rainfed,102,3.5,85,6.73,55.64,17014,675237,946659,271422,5456.7,12.33,41.2
FARM_1007,Haryana,Ambala,Soybean,Kharif,8.5,874.9,27,63.4,6.9,6.78,61.4,114,43,47,Drip,160,4.2,89,4.81,40.21,18400,482666,739864,257198,6465.1,7.44,61.2
FARM_1008,Uttar Pradesh,Lucknow,Maize,Kharif,9.3,981.5,27.4,73.3,8,6.75,55.3,137,75,44,Sprinkler,153,3.3,78,4.94,45.71,16498,480744,754124,273380,7766.5,6.36,55.3
FARM_1009,Tamil Nadu,Coimbatore,Groundnut,Kharif,9.8,1112,29.9,68.6,6.7,7.13,55.8,142,64,59,Canal,208,3,85,5.98,60.92,17235,688893,1049956,361063,6419.8,9.31,52.1
FARM_1010,Telangana,Rangareddy,Maize,Kharif,9.2,885.2,28.1,59.7,6.5,5.59,56,105,48,51,Drip,183,2.9,76,3.68,30.26,17408,388053,526766,138713,5757.7,6.39,66.7
FARM_1011,Gujarat,Rajkot,Groundnut,Kharif,7.9,1047.9,28.6,72,10,6.59,49.2,94,39,58,Drip,151,4,76,4.8,35.63,17100,405372,609273,203901,5708.5,8.41,64.6
FARM_1012,Gujarat,Junagadh,Rice,Kharif,10.3,672.9,31.2,68.2,7.1,6.98,52.4,115,38,40,Tube Well,165,3.9,82,5.87,57.61,14692,605181,846406,241225,5901,9.95,60.8
FARM_1013,Haryana,Kurukshetra,Maize,Kharif,8.6,973.7,28.8,76.5,7.8,7.28,62.3,119,50,54,Sprinkler,199,4.6,89,6.1,52.22,16241,626307,848105,221798,7835.5,7.79,59
FARM_1014,Madhya Pradesh,Jabalpur,Soybean,Kharif,6.9,934,27.5,61.7,8.1,6.85,66,103,59,40,Rainfed,160,3.2,84,6.7,47.44,16333,594472,774838,180366,6568.6,10.2,54
FARM_1015,Uttar Pradesh,Lucknow,Maize,Kharif,9.2,830.8,25.4,81.4,4.9,7.27,56.5,110,61,52,Canal,238,4.2,89,4.7,42.67,15984,476823,682037,205214,6252.4,7.52,58.5
FARM_1016,Andhra Pradesh,Kurnool,Groundnut,Kharif,7.4,992,31.5,56.2,8,7.65,54.8,107,51,37,Rainfed,155,4.4,71,6.25,43.16,15800,478387,681928,203541,6462.3,9.67,47.5
FARM_1017,Haryana,Rohtak,Soybean,Kharif,10.3,925.6,27.8,73.7,6.8,7.54,54.3,133,81,41,Drip,186,4.1,75,5.62,59.11,16506,624145,975670,351525,4774.5,11.77,54.1
FARM_1018,Andhra Pradesh,Chittoor,Groundnut,Kharif,8.2,1202.6,25,76.6,6.9,7.85,47.5,127,62,38,Sprinkler,258,3.9,82,6.38,48.89,18117,559238,885740,326502,6674.6,9.56,45.2
FARM_1019,Punjab,Amritsar,Rice,Kharif,8.8,997.8,32.7,72.5,5.8,6.17,58.2,126,59,46,Rainfed,144,5.1,87,5.95,51.28,15517,646283,795712,149429,4389.6,13.55,59.7
FARM_1020,Maharashtra,Pune,Rice,Kharif,8.8,931.3,29.1,68.9,7.1,5.65,59.6,106,76,26,Rainfed,191,3.6,77,5.14,44.51,17248,479648,767708,288060,6522.1,7.88,56.8
FARM_1021,Haryana,Karnal,Maize,Kharif,6.2,870,27.9,68.6,9.1,6.57,66.5,102,62,34,Drip,171,4.3,75,5.91,38.06,15240,379007,580034,201027,5174.1,11.42,49.3
FARM_1022,Telangana,Warangal,Cotton,Kharif,9.6,856.2,29.6,76.6,6.6,7.03,46.9,131,54,48,Sprinkler,144,3.6,72,5.73,50.87,17658,573367,898262,324895,6617.5,8.66,52
FARM_1023,Andhra Pradesh,Kurnool,Maize,Kharif,8.3,804.5,28.1,68,7,6.25,54,110,58,43,Canal,121,2.5,70,6.25,57.81,15717,554943,908600,353657,6036.3,10.35,49.7
FARM_1024,Uttar Pradesh,Kanpur,Soybean,Kharif,11.3,775.1,28.7,80.7,7.4,6.9,69,104,70,49,Tube Well,176,3.3,82,5.23,60.94,16478,708454,1004169,295715,7092.1,7.37,47.3
FARM_1025,Tamil Nadu,Coimbatore,Soybean,Kharif,6.3,761.4,27.3,75.5,7,7.6,54.5,105,48,52,Canal,207,3.8,80,6.23,39.83,17237,436323,686550,250227,6160,10.11,53.3
FARM_1026,Andhra Pradesh,Chittoor,Cotton,Kharif,7.4,986,28.5,49.4,8.1,6.8,69.1,151,60,45,Drip,184,3.8,78,5.89,42.72,16167,613148,690654,77506,6271.6,9.39,51.8
FARM_1027,Tamil Nadu,Salem,Soybean,Kharif,7.9,826.7,28.5,72.9,7.3,6.66,68.8,63,52,66,Tube Well,166,3.2,79,4.76,36.87,17104,454377,630624,176247,5641.7,8.44,52
FARM_1028,Tamil Nadu,Madurai,Soybean,Kharif,14,862.6,26.6,78.7,6.8,7.51,67.9,140,54,47,Rainfed,143,4.2,91,5.9,75.5,16810,807367,1269155,461788,5750.5,10.26,59.1
FARM_1029,Haryana,Kurukshetra,Soybean,Kharif,7.1,900.8,30.3,73,6.7,7.18,58.8,106,41,47,Rainfed,178,2.8,77,5.49,37.63,16669,381621,627254,245633,6750.4,8.13,55.3
FARM_1030,Tamil Nadu,Thanjavur,Cotton,Kharif,7.7,781.7,30.9,84.7,6.8,6,63.2,94,54,43,Tube Well,228,3.5,79,4.69,36.92,19155,478495,707203,228708,5877.8,7.98,42.5
FARM_1031,Maharashtra,Nagpur,Soybean,Kharif,9,830.5,27.9,61.3,7.4,6.96,52.3,165,46,58,Canal,152,3.7,78,5.83,55.82,16800,735280,937776,202496,5167.6,11.28,60.8
